Problem,Trig,Complex Numbers,Logarithms
2023A #25,1,0,0
2023A #15,1,0,0
2023B #17,1,0,0
2023B #20,1,0,0
2022B #14,1,0,0
2022B #19,1,0,0
2022A #12,1,0,0
2022A #17,1,0,0
2021B Fall #8,1,0,0
2021B Fall #10,1,0,0
2021B Fall #13,1,0,0
2021B Fall #24,1,0,0
2021A Fall #19,1,0,0
2021B #13,1,0,0
2021A #19,1,0,0
2021A #22,1,0,0
2020B #25,1,0,0
2020A #9,1,0,0
2019B #12,1,0,0
2019A #19,1,0,0
2023A #14,0,1,0
2023A #16,0,1,0
2023B #12,0,1,0
2022B #11,0,1,0
2022A #13,0,1,0
2022A #22,0,1,0
2021B Fall #21,0,1,0
2021A Fall #15,0,1,0
2021B #18,0,1,0
2021A #13,0,1,0
2021A #21,0,1,0
2020B #17,0,1,0
2020B #23,0,1,0
2020A #15,0,1,0
2020A #22,0,1,0
2019B #17,0,1,0
2019B #24,0,1,0
2019A #14,0,1,0
2019A #21,0,1,0
2018B #16,0,1,0
2023A #6,0,0,1
2023A #19,0,0,1
2023B #7,0,0,1
2022B #16,0,0,1
2022A #11,0,0,1
2022A #14,0,0,1
2021A Fall #9,0,0,1
2021B #9,0,0,1
2021A #14,0,0,1
2020B #13,0,0,1
2020A #10,0,0,1
2020A #17,0,0,1
2019B #9,0,0,1
2019A #12,0,0,1
2019A #15,0,0,1
2018B #7,0,0,1
2018A #14,0,0,1
2017A #20,0,0,1
2016A #16,0,0,1
2015A #14,0,0,1
